orderId;clientId;product;gender;orderdate;Quantity;Price
1;255;g;female;03/01/2017;3;5
1;255;a;female;03/01/2017;3;14
1;255;b;female;03/01/2017;3;22
1;255;a;female;03/01/2017;1;14
2;145;h;male;05/01/2017;1;26
2;145;h;male;05/01/2017;1;26
2;145;a;male;05/01/2017;1;14
2;145;h;male;05/01/2017;1;26
3;241;d;female;27/02/2017;3;12
3;241;g;female;27/02/2017;2;5
3;241;a;female;27/02/2017;2;14
3;241;i;female;27/02/2017;2;32
3;241;a;female;27/02/2017;1;14
4;207;a;female;06/03/2017;2;14
4;207;a;female;06/03/2017;3;14
4;207;g;female;06/03/2017;3;5
5;290;a;female;26/03/2017;3;14
5;290;b;female;26/03/2017;3;22
5;290;h;female;26/03/2017;1;26
5;290;f;female;26/03/2017;1;24
5;290;b;female;26/03/2017;1;22
5;290;g;female;26/03/2017;3;5
5;290;g;female;26/03/2017;2;5
6;221;f;female;09/02/2017;1;24
6;221;a;female;09/02/2017;3;14
6;221;g;female;09/02/2017;1;5
6;221;i;female;09/02/2017;2;32
6;221;h;female;09/02/2017;2;26
6;221;b;female;09/02/2017;1;22
7;268;i;male;06/02/2017;3;32
8;138;h;female;28/03/2017;2;26
8;138;g;female;28/03/2017;1;5
8;138;h;female;28/03/2017;1;26
8;138;a;female;28/03/2017;1;14
8;138;a;female;28/03/2017;2;14
8;138;d;female;28/03/2017;3;12
8;138;c;female;28/03/2017;2;9
8;138;b;female;28/03/2017;1;22
8;138;a;female;28/03/2017;2;14
9;92;g;female;27/01/2017;1;5
9;92;c;female;27/01/2017;2;9
9;92;a;female;27/01/2017;3;14
9;92;g;female;27/01/2017;2;5
9;92;h;female;27/01/2017;1;26
9;92;h;female;27/01/2017;3;26
10;41;e;female;06/03/2017;3;30
10;41;i;female;06/03/2017;1;32
10;41;a;female;06/03/2017;1;14
10;41;e;female;06/03/2017;3;30
11;275;e;female;12/03/2017;1;30
11;275;e;female;12/03/2017;2;30
11;275;b;female;12/03/2017;3;22
11;275;b;female;12/03/2017;2;22
11;275;g;female;12/03/2017;2;5
11;275;e;female;12/03/2017;2;30
11;275;b;female;12/03/2017;3;22
11;275;a;female;12/03/2017;2;14
11;275;h;female;12/03/2017;1;26
12;209;b;female;27/03/2017;1;22
12;209;d;female;27/03/2017;2;12
